_id,description,manufacturer_name,product_availability,product_availability_local,product_categoryId,product_currency,product_model,product_name,product_price,product_price_currency_online,product_price_online,product_seria,product_sku,product_status,sourceCurrency,sourcePrice,Бренд,Высота,Гидромассаж,Длина,Материал,Монтаж,Опора,Ориентация,Особенности,Панель,Серия,Сифон,Смеситель,Тип поверхности,Тип управления,Форма,Цвет изделия,Ширина,Длина/высота (мм),Страна производитель,Цвет/тип покрытия,Глубина,Назначение,Диаметр (мм),Диаметр 2 (мм),Перелив,Подключение к канализации,Угол,Диаметр (дюймы),Диаметр 2 (дюймы),Диаметр 3 (мм),"Длина кронштейна (от стены), мм","Длина лейки верхнего душа, мм",Кол-во режимов верхнего душа,Кол-во режимов ручного душа,"Мин Высота, мм",Регулируемая высота стойки,Форма лейки верхнего душа,"Ширина лейки верхнего душа, мм","Высота, мм","Диаметр/Диагональ, мм",Мыльница,Способ переключения режимов,Тип держателя,Форма лейки ручного душа,Цвет диска ручного душа,Высота поддона,Наличие поддона,Наличие сифона,Расположение,Тип двери,Толщина стекла,Форма кабины,Цвет профиля,Цвет стекла,Тип слива,Тип сидения,Тип установки смесителя,Подвод воды,Безободковый,Комплектация,Материал сиденья,"Сиденье, крышка",Тип изделия,Тип слива бачка,Унитаз с функцией биде,Кол-во смесителей,Особенности формы,Отверстия под смеситель,Тип дверей,Конструкция,Длина излива,Кол-во отверстий,Кол-во потребителей,Повротный излив,Тип переключателя ванна/душ,Форма накладки,Высота излива,Наличие донного клапана,Положение регулятора,С полочкой,Высота смесителя,Вывод для фильтрованной в,Выдвижной излив,Тип излива,Тип поддона,Материал лейки,Давление (PN),Толщина стенки,Длина излива см,Тип товара
5e8f4b81f5714a2cd62f857d,"MODO ванна 180 x 80 см + ноги, акрил",KOLO Польша,true,true,500040,UAH,XWP1181000,"MODO ванна 180*80см прямоугольная, центральный слив, с ножками SN7",4362,UAH,4143,MODO,000016,,UAH,3140.64,KOLO Польша,450,Нет,1 800,Акрил,Пристенный,Ножки,Нет,Нет,Нет,MODO,Есть,Нет,Глянцевая,Нет,Прямоугольная,Белый,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f857e,"Держатель для полотенца в виде кольца. Материал - латунь, мрамор, нержавеющая сталь. Размер - 19*8,5*21см.",BLASK,true,false,900089,EUR,BGL-0220,"Кольцо под  полотенца 19*8,5*21см, латунь хром",19.49,EUR,19.49,,000292,Распродажа,EUR,9.75,BLASK,,,,Латунь,Подвесной,,,,,,,,,,Кольца,,,210,Польша,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f857f,"Мыльница из латуни и нержавеющей стали. Размер - 15*13*4,7см.",BLASK,true,false,90007,EUR,CZM-0351,"Мыльница стекло 15*13*4,7см., латунь хром",14.39,EUR,14.39,,000297,Распродажа,EUR,7.20,BLASK,,,,Стекло,Подвесной,,,,,,,,,,,,,,Польша,Прозрачный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f8580,"Мыльница из латуни, мрамора и нержавеющей стали. Размер - 16*12*9см.",BLASK,false,true,90007,EUR,BGL-0251,"Мыльница стекло 16*12*9см, латунь хром",20.31,EUR,20.31,,000298,Распродажа,EUR,10.16,BLASK,,,,Стекло,Подвесной,,,,,,,,,,,,,,Польша,Прозрачный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f8581,"Стакан для ванны с держателем. Материал - стекло, латунь, мрамор, нержавеющая сталь.",BLASK,false,true,9000107,EUR,BGL-0241,"Стакан стекло с держателем 14*10,5*10см, латунь хром",20.28,EUR,20.28,,000304,Распродажа,EUR,10.14,BLASK,,,,Стекло,Подвесной,,,,,,,,,,,,,,Польша,Прозрачный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f8582,"Дельфины коврик для крышки унитаза, винил",KERAMAC,true,false,900064,USD,,Дельфины коврик для крышки унитаза,4.43,USD,4.43,Flori,000382,Распродажа,USD,2.22,KERAMAC,,,,Винил,,,,,,Flori,,,,,,,,,,Другие цвета,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f8583,"Ракушки коврик для крышки унитаза, винил",KERAMAC,true,false,900064,USD,,Ракушки коврик для крышки унитаза,4.31,USD,4.31,Flori,000383,Распродажа,USD,2.16,KERAMAC,,,,Винил,,,,,,Flori,,,,,,,,,,Другие цвета,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f8584,Стакан с держателем для ванной комнаты от компании Hava сделан из стекла.,HAVA,true,false,9000107,EUR,125055317,ANTIGUE brass стакан  с держателем,24.91,EUR,24.91,,000438,Распродажа,EUR,12.46,HAVA,,,,Стекло,Подвесной,,,,,,,,,,,,,,Германия,Прозрачный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f8585,"Ванна акриловая Коло-Дымер с ножками. Длина 150 см, ширина 75 см, высота 44 см. Для пристенного монтажа",KOLO Украина,true,true,500040,UAH,XWP3050000,"COMFORT ванна 150*75см прямоугольная, с ножками SN7",5340,UAH,5073,COMFORT,001036,,UAH,3791.40,KOLO Украина,420,Нет,1 500,Акрил,Пристенный,Ножки,Нет,Нет,Нет,COMFORT,Нет,Нет,Глянцевая,Нет,Прямоугольная,Белый,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f8586,"Ванна акриловая Коло-Дымер, с ножками. Длина 160 см, ширина 75 см, высота 44 см. Для пристенного монтажа",KOLO Украина,true,false,500040,UAH,XWP3060000,"COMFORT ванна 160*75см прямоугольная, с ножками SN7",5340,UAH,5073,COMFORT,001037,,UAH,3791.40,KOLO Украина,420,Нет,1 600,Акрил,Пристенный,Ножки,Нет,Нет,Нет,COMFORT,Нет,Нет,Глянцевая,Нет,Прямоугольная,Белый,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
