_id,id,name,aviable,instock,price,currencyId,delivery,vendor,vendorCode,model,description,categoryId,Гарантия,Панель к поддону,Диаметр отверстия для сифона,Страна регистрации бренда,Страна-производитель товара,Бренд,Модель,Количество грузовых мест,"Габариты 1 (ВхШхД), мм","Вес брутто 2, кг","Габариты 2 (ВхШхД), мм",Тип изделия,Материал дверей,Цвет полотна двери,Материал задних стенок,Цвет задних стенок,Толщина материала двери,Материал профиля,Цвет профиля,Материал поддона,Цвет поддона,Габариты поддона (ГхВхШхД),Задняя стенка,Двери,Форма,Наличие верхней крышки,"Габариты готового изделия (ВхШхГ), мм",Комплектация,Особенности,"Вес брутто 3, кг","Габариты 3 (ВхШхД), мм","Вес нетто, кг",Серия,"Вес брутто 1, кг","Высота стекол, мм","Габариты 1 (ШхВхД), мм",Назначение,Материал,Способ монтажа,Механизм смешивания,Наличие термостата,"Высота изделия, мм","Ширина изделия, мм","Длина изделия, мм",Донный клапан,Диаметр подключения,"Расход воды, л/мин","Рабочее давление, bar",Код УКТВЭД,"Все нетто, кг",Цвет,Тип управления,Тип излива,"Высота излива, мм","Длина излива, мм",Тип крепления,Тип подвода,"Диаметр монтажного отверстия, мм",Шланги подключения,Тип монтажа,Тип,Габариты изделия,"Вес брутто, кг","Габариты упаковки, мм",Габариты изделия (ВхШхГ),Форма ручной лейки,Фирменные технологии,"Диаметр ручной лейки, мм",Количество режимов переключения лейки,Артикул,Дополнительные характеристики,Описание,Важно,"Габариты изделия (ВхШхД), мм",Обратите внимание,Поверхность,Вид монтажа,Форма лейки,"Диаметр лейки, мм","Длина кронштейна для верхнего душа, мм","Высота душевой стойки, мм","Длина шланга, мм",Количество потребителей,Диаметр ручной лейки,Количество режимов,Количество отверстий для монтажа,Диаметр подключения шлангов,Шланги,"Диаметр картриджа, мм","Габариты изделия (ВхШхГ), мм",Система предотвращения скручивания шланга,Количество режимов переключения,Количество крючков,Метод крепления,Страна - производитель товара,Тип конструкции,Количество перекладин,Поворотная конструкция,"Длина держателя, мм","Толщина материала, мм","Минимальная ширина шкафа, мм",Наличие крыла,Количество основных чаш,Габариты чаши 1 (ВхШхД),Отверстие под смеситель,"Диаметр слива, мм",Наличие перелива,Расположение крыла,"Габариты упаковки (ВхШхД), мм",Количество отверстий для монтажа смесителя,"Высота стойки, мм",Состав набора,Встраиваемая часть в комплекте,Длина кронштейна,Диаметр слива,Система Cliсk-Claсk,Вид слива-перелива,Вид затвора,"Диаметр патрубка в канализацию, мм",Материал слива,Материал решетки,"Размер решетки, мм",Направление выпуска,"Вес брутто , кг",Количество ярусов,"Объем, мл","Габариты изделия (ВхШ), мм",Цвет корпуса,"Диаметр зеркала, мм",Способ открывания крышки,Материал внешнего бака,Внутренний бак,Количество внутренних баков,Конструкция внутреннего бака,Габариты внутреннего бака,Материал внутреннего бака,Цвет внутреннего бака,"Объем, л",Доступ для обслуживания,Тип крышки,Элементы питания,Функция антизапотевания,Наличие светильника,Способ монтажа светильника,Тип лампы,Количество светильников,Тип выключателя,Питание,"Глубина изделия, мм",Наличие полки,Утяжелители,Рекомендации по уходу,Принт,Материал подложки,"Высота ворса, мм",Мощность потребления,Максимальная рабочая температура,Наличие терморегулятора,Количество секций,Направление подключения,Тип термоносителя,Подключение к системе,Описание товара,Тип управления сливом воды,Звукоизоляционная прокладка,"Межосевое расстояние креплений, мм",Наличие панели смыва,Регулировка смыва,"Объем смывного бачка, л",Подключение воды,Количество режимов слива воды,Функция принудительного прерывания слива воды,Наличие смесителя,Подключение горячей воды,Управление,Рабочее давление (атм),"Межосевое расстояние, мм",Наличие сифона,Количество дополнительных чаш,Габариты чаши 2 (ВхШхД),Тип элементов питания,Количество элементов питания,"Элементы питания в комплекте (указать есть, нет)",Количество режимов струи смесителя для кухни,Совместимость,"Потребляемая мощность, Вт",Количество скоростей,Количество температурных режимов,Функция подачи холодного воздуха,"Напряжение, V","Уровень шума, дБ",Общая мощность,"Время сушки, сек","Температура воздушного потока, °С","Скорость воздушного потока, км/ч",Подключение,Тип включения,Материал корпуса,Количество полок,Материал полок,"Габариты упаковки 2, мм",Монтаж,"Габариты изделия (ШхДхВ), мм","Габариты изделия (ШхВхД), мм","Диаметр подключения, мм",Объем смывного бачка,Безободковый унитаз,Сиденье в комплекте,Вид унитаза,Сиденье с микролифтом,Функция биде,Организация смывающего потока,Тип установки,Форма чаши,Метод установки смывного бачка,"Вес брутто инсталляции, кг","Габариты упаковки инсталляции, мм","Габариты изделий (ВхШхД), мм","Минимальный объем воды для омывания чаши, л","Вес брутто гигиенического душа, кг","Габариты упаковки гигиенического душа, мм",Наличие слива - перелива,Наличие отверстия под смеситель,Функция микролифта,"Пропускная способность, л/мин",Тип управления смывным клапаном,"Вес брутто сиденья, кг","Вес брутто унитаза, кг","Габариты упаковки унитаза, мм","Габариты упаковки сиденья, мм",Функция микролифта сиденья,Расположение перелива,Наличие ножек,"Габариты упаковки ванны, мм","Габариты упаковки рамы-каркаса, мм","Габариты упаковки ножек, мм",Габариты готового изделия,Наличие сиденья,Угловая конструкция,Толщина материала,"Производительность, кубм/ч",Автоматическое вкл/выкл (сенсор),Режим работы,Наличие таймера,Материал декора,Наличие дисплея,"Мощность мотора, Вт","Диаметр воздуховода, мм",Класс энергопотребления,Количество источников света,Тип источников света,Тип фильтра,Количество режимов струи,Душевой гарнитур в комплекте
5e90a4af621717483dd5c1ba,SD00032544,Душевая кабина Q-tap SC8080.1 CRM,true,91,4500,UAH,true,Q-tap (душ.кабины),SD00032544,QTSC80801CRM,Душевая кабина Q-tap SC8080.1 CRM,321,2 года,Нет,50,Украина,Китай,Q-tap,SC80801,2,390х80х1830,7,820х170х820,Душевая кабина,Стекло,Белый,Нет,Нет,4 мм,Алюминий,Хром,Акрил,Белый,50х145х800х800,Нет,Раздвижные,Угловая,Нет,1950х800х800,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, ножки","Ручка: круглая, хромированная, диаметр 40. Сифон клик-клак. Исполнение полотна двери с узором квадрат.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1bb,SD00032545,Душевая кабина Q-tap SC9090.1 CRM,true,99,4740,UAH,true,Q-tap (душ.кабины),SD00032545,QTSC90901CRM,Душевая кабина Q-tap SC9090.1 CRM,321,2 года,Нет,50,Украина,Китай,Q-tap,SC90901,2,390х80х1830,8,920х170х920,Душевая кабина,Стекло,Белый,Нет,Нет,4 мм,Алюминий,Хром,Акрил,Белый,50х145х900х900,Нет,Раздвижные,Угловая,Нет,1950х900х900,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, ножки","Ручка: круглая, хромированная, диаметр 40. Сифон клик-клак. Исполнение полотна двери с узором квадрат.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1bc,SD00032546,Душевая кабина Q-tap SC8080.2 CRM,true,50,4950,UAH,true,Q-tap (душ.кабины),SD00032546,QTSC80802CRM,Душевая кабина Q-tap SC8080.2 CRM,321,2 года,Есть,50,Украина,Китай,Q-tap,SC80802,2,390х80х1500,"6,6",820х330х820,Душевая кабина,Стекло,Белый,Нет,Нет,4 мм,Алюминий,Хром,Акрил,Белый,250х300х800х800,Нет,Раздвижные,Угловая,Нет,1950х800х800,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, ножки","Ручка: круглая, хромированная, диаметр 40. Сифон клик-клак. Исполнение полотна двери с узором квадрат.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1bd,SD00032547,Душевой бокс Q-tap SB8080.1 SAT,true,68,8400,UAH,true,Q-tap (душ.кабины),SD00032547,QTSB80801SAT,Душевой бокс Q-tap SB8080.1 SAT,364,2 года,Нет,50,Украина,Китай,Q-tap,SB80801,3,400х80х1820,12,820х270х820,Душевой бокс,Стекло,Матовый,Стекло,Белый,4 мм,Алюминий,Серый,Акрил,Белый,50х145х800х800,Да,Раздвижные,Угловая,Да,2150х800х800,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, задняя стенка, панель, смеситель, лейка для ручного душа, лейка для верхнего душа, душевой шланг, кронштейн, ножки.","Лейка для ручного душа на 3 режима. Ручка: круглая, белая, диаметр 40. Сифон клик-клак",18,600х40х1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1be,SD00032548,Душевой бокс Q-tap SB8080.2 SAT,true,1,8400,UAH,true,Q-tap (душ.кабины),SD00032548,QTSB80802SAT,Душевой бокс Q-tap SB8080.2 SAT,364,2 года,Есть,50,Украина,Китай,Q-tap,SB80802,3,400х80х1500,12,820х390х820,Душевой бокс,Стекло,Матовый,Стекло,Белый,4 мм,Алюминий,Серый,Акрил,Белый,250х350х800х800,Да,Раздвижные,Угловая,Да,2150х800х800,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, задняя стенка, панель, смеситель, лейка для ручного душа, лейка для верхнего душа, душевой шланг, кронштейн, ножки.","Лейка для ручного душа на 3 режима. Ручка: круглая, белая, диаметр 40. Сифон клик-клак",18,600х40х1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1bf,SD00032549,Душевой бокс Q-tap SB9090.2 SAT,false,0,9000,UAH,true,Q-tap (душ.кабины),SD00032549,QTSB90902SAT,Душевой бокс Q-tap SB9090.2 SAT,364,2 года,Есть,50,Украина,Китай,Q-tap,SB90902,3,400х80х1500,"11,32",920х390х920,Душевой бокс,Стекло,Матовый,Стекло,Белый,4 мм,Алюминий,Серый,Акрил,Белый,250х350х900х900,Да,Раздвижные,Угловая,Да,2150х900х900,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, задняя стенка, панель, смеситель, лейка для ручного душа, лейка для верхнего душа, душевой шланг, кронштейн, ножки.","Лейка для ручного душа на 3 режима. Ручка: круглая, белая, диаметр 40. Сифон клик-клак",17,600х40х1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1c0,SD00032550,Душевая кабина Q-tap SC9090.2 CRM,true,99,5310,UAH,true,Q-tap (душ.кабины),SD00032550,QTSC90902CRM,Душевая кабина Q-tap SC9090.2 CRM,321,2 года,Есть,50,Украина,Китай,Q-tap,SC90902,2,390х80х1500,"7,6",920х330х920,Душевая кабина,Стекло,Белый,Нет,Нет,4 мм,Алюминий,Хром,Акрил,Белый,250х300х900х900,Нет,Раздвижные,Угловая,Нет,1950х900х900,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, ножки","Ручка: круглая, хромированная, диаметр 40. Сифон клик-клак. Исполнение полотна двери с узором квадрат.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1c1,SD00032551,Душевой бокс Q-tap SB9090.1 SAT,true,32,9000,UAH,true,Q-tap (душ.кабины),SD00032551,QTSB90901SAT,Душевой бокс Q-tap SB9090.1 SAT,364,2 года,Нет,50,Украина,Китай,Q-tap,SB90901,3,400х80х1820,"11,32",920х270х920,Душевой бокс,Стекло,Матовый,Стекло,Белый,4 мм,Алюминий,Серый,Акрил,Белый,50х145х900х900,Да,Раздвижные,Угловая,Да,2150х900х900,"Поддон, сифон, дверки, ручки, ролики, профиль, крепежи, задняя стенка, панель, смеситель, лейка для ручного душа, лейка для верхнего душа, душевой шланг, кронштейн, ножки.","Лейка для ручного душа на 3 режима. Ручка: круглая, белая, диаметр 40. Сифон клик-клак",17,600х40х1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1c2,SD00035459,Душевая кабина Q-tap Safe SC9090.1A T6 SUS,true,4,12300,UAH,true,Q-tap (душ.кабины),SD00035459,QTSAFSC90901AT6SUS,Душевая кабина Q-tap Safe SC9090.1A T6 SUS,321,2 года,Нет,90,Украина,Китай,Q-tap,SC9090,2,2060х660х90,14,150х920х920,Душевая кабина,Стекло,Прозрачный,Нет,Нет,6 мм,Нержавеющая сталь,Хром,Акрил,Белый,65х130х895х895,Нет,Распашные,Угловая,Нет,2140х900х900,"Поддон, сифон, дверка, ручки, профиль, крепежи,  кронштейн, ножки.","Ручка изготовлена из нержавеющей стали. Поддон имеет усиленный каркас, допустимая нагрузка до 200 кг. Сифон удобно и легко очищается от загрязнения. Толщина стенок профиля 1 мм.",,,33,Safe,24,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e90a4af621717483dd5c1c3,SD00035460,Душевая кабина Q-tap Angle SC12080.1A T6 SUS,true,41,16500,UAH,true,Q-tap (душ.кабины),SD00035460,QTANGSC120801AT6SUS,Душевая кабина Q-tap Angle SC12080.1A T6 SUS,321,2 года,Нет,90,Украина,Китай,Q-tap,SC12080,2,2000х830х70,18,150х1210х820,Душевая кабина,Стекло,Прозрачный,Нет,Нет,6 мм,Нержавеющая сталь,Хром,Акрил,Белый,65х140х1180х800,Нет,Распашные,Прямоугольная,Нет,2140х800х1200,"Поддон, сифон, дверка, ручки, профиль, крепежи, кронштейн, ножки.","Ручка изготовлена из нержавеющей стали. Поддон имеет усиленный каркас, допустимая нагрузка до 200 кг. Сифон удобно и легко очищается от загрязнения. Толщина стенок профиля 1 мм.",,,41,Angle,28,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
